Index,Episode_Num,Episode_Name,Arc_Num,Arc_Name,Speaker,Section,Scene,Category,Character,Line
1,E1, Campaign 2 Episode 1 Curious Beginnings ,A1,Arc 1: Come Together,MATT,Pre-Show,0,Out of Game,,"Hello, everyone. "
2,E1, Campaign 2 Episode 1 Curious Beginnings ,A1,Arc 1: Come Together,MATT,Pre-Show,0,Out of Game,,(laughter) 
3,E1, Campaign 2 Episode 1 Curious Beginnings ,A1,Arc 1: Come Together,MATT,Pre-Show,0,Out of Game,,"And welcome to tonight's episode of Critical Role, where a bunch of us nerdy-ass voice actors sit around and play the first game of our new campaign of Dungeons and Dragons. "
4,E1, Campaign 2 Episode 1 Curious Beginnings ,A1,Arc 1: Come Together,MATT,Pre-Show,0,Out of Game,,(cheering) 
5,E1, Campaign 2 Episode 1 Curious Beginnings ,A1,Arc 1: Come Together,MATT,Pre-Show,0,Out of Game,,"Super excited to be back. I've missed this a lot. Missed this-- oh, you guys will be fine. So yes. Glad you guys can join us, apparently in some crazy numbers. So welcome new viewers. Hope you enjoy your stay. So, without further ado, let's get this going so we can get through our announcements. Since it is our first episode of the year, of the campaign, I want to make sure that we get our announcements out of the way. "
6,E1, Campaign 2 Episode 1 Curious Beginnings ,A1,Arc 1: Come Together,MATT,Pre-Show,0,Out of Game,,"We've got some cool stuff to talk about. First and foremost, we have two sponsors tonight. Our first sponsor-- and we're going into, for a time, a cool partnership with the folks at DnD Beyond, actually. They've been really awesome, and we've been talking, and anybody who hasn't seen it, it's an online digital tool where you can create your own D&D character, they have options to purchase any of the current D&D books out there, and then carry over any of the character options and racial options over into it, so you can basically use it as a tool. We'll be using it to help us out in the game as we go, 'cause it's actually got some pretty cool stuff. So excited about that. It is D-N-D Beyond, by the way, if you haven't seen, not the ampersand. It's D-N-D. "
7,E1, Campaign 2 Episode 1 Curious Beginnings ,A1,Arc 1: Come Together,LAURA,Pre-Show,0,Out of Game,,As in nnnn. 
8,E1, Campaign 2 Episode 1 Curious Beginnings ,A1,Arc 1: Come Together,MATT,Pre-Show,0,Out of Game,,"Nnnn. But yeah, so they're going to be a long-term partner for the show, so working with us through the start of this campaign. We're super excited. But yeah. So we're excited. You can currently activate-- it should be now-- some Critical Role content on there. They should have available the Blood Hunter class that I created a couple of years ago, kind of refining. Should be available for you guys to find on the DnD Beyond, which I'm excited about, and there's a one-time discount of $10 off any digital book in the dndbeyond.com marketplace if you use the codeword 'beginnings' in there right now. So yeah, get a chance to check it out. "
9,E1, Campaign 2 Episode 1 Curious Beginnings ,A1,Arc 1: Come Together,TRAVIS,Pre-Show,0,Out of Game,,(vomiting noises) Would you like some? 
10,E1, Campaign 2 Episode 1 Curious Beginnings ,A1,Arc 1: Come Together,MATT,Pre-Show,0,Out of Game,,"So yeah. I'm super excited to have that, guys. So you apply that code at checkout to make that happen, in case you're confused and trying to get it to work. There's a bunch of stuff to explore on there, and a bunch of cool ways to incorporate the existing breadth of D&D lore and options in there, and now you have some of our stuff in there as well, and hopefully more Critical Role content and Tal'Dorei content and Exandria content down the road to also be available on there as we go. Super excited about that. I'd like to thank you guys at DnD Beyond for being awesome. We also have our second sponsor. Sam, if you want to take it away. "
